FY Start Date,FY End Date,Category,Subcategory,Pct Value,Num Value,Geocoded Census Tract,FID,Tract CE,GEO ID,Latitude,Longitude,GEO ID Data,Shape Area,Shape Length
07/01/2016 12:00:00 AM,06/30/2017 12:00:00 AM,Citywide,Citywide,0.66,,,,,,,,,,
07/01/2017 12:00:00 AM,06/30/2018 12:00:00 AM,Citywide,Citywide,0.77,,,,,,,,,,
07/01/2018 12:00:00 AM,06/30/2019 12:00:00 AM,Citywide,Citywide,0.77,,,,,,,,,,
07/01/2019 12:00:00 AM,06/30/2020 12:00:00 AM,Citywide,Citywide,0.8,,,,,,,,,,
07/01/2019 12:00:00 AM,06/30/2020 12:00:00 AM,Census Tract,1,0.95,,"MULTIPOLYGON (((-85.662304249691 43.021840202714, -85.662173248373 43.022333202726, -85.662010248982 43.022740202895, -85.661831248736 43.02300020233, -85.661380248565 43.026087202426, -85.660948248409 43.02905420372, -85.660782249763 43.029055203477, -85.6595132487 43.029059203395, -85.658503249355 43.029039204253, -85.656087248163 43.02896120435, -85.654985247099 43.028952203505, -85.652864247009 43.028916203721, -85.649272245343 43.0288462047, -85.649150245158 43.028847204531, -85.647967245292 43.028831204189, -85.645319245043 43.028787204747, -85.643504244575 43.028762204614, -85.6423642438 43.028747204949, -85.640288243028 43.028718204646, -85.639281242236 43.028703204379, -85.637783241426 43.028678204498, -85.636521241626 43.02866320439, -85.636206241676 43.028656204584, -85.635825241586 43.0286502049, -85.635566241569 43.028646205077, -85.633985241065 43.02862020434, -85.633711241001 43.028617204199, -85.6312782398 43.028585204668, -85.631569240385 43.028163205648, -85.631946240125 43.027529204631, -85.632215240488 43.026978204338, -85.632330240149 43.026634204648, -85.632419239724 43.026371205087, -85.632518240706 43.02596520408, -85.63264323991 43.02521920437, -85.632702241033 43.0248362039, -85.632795239768 43.024240204021, -85.632802241142 43.024194203725, -85.632893240174 43.023537204175, -85.63293023982 43.023206204288, -85.633012240854 43.022756203769, -85.633080239653 43.02251920346, -85.633195239265 43.022197204657, -85.633345240517 43.021862203893, -85.633533239795 43.021544203807, -85.63378023987 43.021194203249, -85.634059239901 43.020872203593, -85.634271239984 43.020654203989, -85.634477240574 43.020466203505, -85.634623240224 43.020349203046, -85.634717239918 43.020270202894, -85.63519124055 43.019941203031, -85.635665240926 43.019663203902, -85.636160240386 43.019439203561, -85.636498241254 43.019593202747, -85.63800824118 43.020340203504, -85.638541240785 43.020555203916, -85.639007241446 43.020700203254, -85.639167241913 43.020750203222, -85.639503242222 43.020834203507, -85.64035424175 43.020994202726, -85.640791241888 43.021053203075, -85.641145242748 43.02108020317, -85.641553242667 43.02109620337, -85.641679242091 43.021102203084, -85.642017242998 43.021100203092, -85.647411243581 43.021172202562, -85.654649246171 43.021269202059, -85.655743247131 43.021285201839, -85.656935246564 43.02130220318, -85.658037248386 43.02131920304, -85.6593362479 43.021338202805, -85.659985247997 43.021347202224, -85.660466247853 43.021367202077, -85.661452247716 43.021361202379, -85.662428248501 43.021378202613, -85.662304249691 43.021840202714)))",58,100,26081000100,43.0253597,-85.6473949,14000US26081000100,3836475.04296875,9025.66680623443
07/01/2019 12:00:00 AM,06/30/2020 12:00:00 AM,Census Tract,2,0.89,,"MULTIPOLYGON (((-85.672384251139 43.014359200493, -85.672139251176 43.01485720075, -85.671926250209 43.01516720084, -85.671652250232 43.015438200336, -85.671591251494 43.015498200218, -85.671166250185 43.015830200357, -85.670651250572 43.016083200843, -85.670331250646 43.016208200989, -85.670227251145 43.016248201587, -85.664728248603 43.018842201944, -85.66446624904 43.018965201147, -85.664135249811 43.01933420139, -85.663954249296 43.019538202068, -85.662773248686 43.020860201868, -85.662592248647 43.021122202417, -85.662428248501 43.021378202613, -85.661452247716 43.021361202379, -85.660466247853 43.021367202077, -85.659985247997 43.021347202224, -85.6593362479 43.021338202805, -85.658037248386 43.02131920304, -85.656935246564 43.02130220318, -85.655743247131 43.021285201839, -85.654649246171 43.021269202059, -85.647411243581 43.021172202562, -85.642017242998 43.021100203092, -85.641679242091 43.021102203084, -85.641553242667 43.02109620337, -85.641145242748 43.02108020317, -85.640791241888 43.021053203075, -85.64035424175 43.020994202726, -85.639503242222 43.020834203507, -85.639167241913 43.020750203222, -85.639007241446 43.020700203254, -85.638541240785 43.020555203916, -85.63800824118 43.020340203504, -85.636498241254 43.019593202747, -85.636160240386 43.019439203561, -85.63650824108 43.019290203152, -85.63705624025 43.019103202831, -85.637802241167 43.018887202611, -85.637895241315 43.018863202994, -85.639038242075 43.018539202326, -85.639699241394 43.018359202801, -85.640348241773 43.018159203034, -85.641629242445 43.017793202168, -85.642487242634 43.017494202453, -85.643214243013 43.01716420233, -85.643458243104 43.017017201885, -85.643691242856 43.016854202914, -85.643947242227 43.016656202705, -85.644167243485 43.016465203075, -85.644365243387 43.016271202331, -85.644565242555 43.016031202618, -85.644758242343 43.015787201999, -85.644919242503 43.015496201908, -85.645344242891 43.014796201602, -85.645626243214 43.014311202232, -85.646167243292 43.013401201904, -85.648130244215 43.01341520145, -85.649230244065 43.013415201257, -85.649651244332 43.013415201652, -85.650287244231 43.013425200773, -85.650871244048 43.013428201269, -85.652654245057 43.013447201153, -85.654462245909 43.013461201972, -85.655616246299 43.013480201269, -85.65731324695 43.013491200597, -85.660073247534 43.01351520112, -85.661445247479 43.013529200705, -85.663727248335 43.013547200763, -85.663916247964 43.013547200254, -85.668287250456 43.013725200266, -85.669524250925 43.013775200621, -85.671432250812 43.013851201073, -85.672280251329 43.013752200432, -85.672478251022 43.01371620048, -85.672384251139 43.014359200493)))",10,200,26081000200,43.0172894,-85.6551305,14000US26081000200,3377715.34375,9129.9908889254
07/01/2019 12:00:00 AM,06/30/2020 12:00:00 AM,Census Tract,3,0.52,,"MULTIPOLYGON (((-85.639897239678 42.999811200238, -85.639896240383 43.000052199232, -85.639894239668 43.000617199886, -85.639880240339 43.001447200146, -85.639878239968 43.002277200312, -85.639858240115 43.003088200518, -85.63986823956 43.003822200613, -85.63985824085 43.004434199647, -85.639855239892 43.004994200522, -85.639851240308 43.005307200668, -85.639832240308 43.006221200814, -85.639823241551 43.006938200528, -85.639817240815 43.00725620159, -85.639809240027 43.007654200465, -85.639806239798 43.008120200835, -85.639802240759 43.008370201802, -85.63979124 43.009069201448, -85.639793240534 43.009730201332, -85.639793240207 43.00981520169, -85.639780241565 43.010692201807, -85.639773240384 43.011580202075, -85.639761241326 43.012490201416, -85.639747240664 43.013391201467, -85.639732241105 43.01490420263, -85.63973324161 43.015647203222, -85.639736241806 43.016543202631, -85.639699241394 43.018359202801, -85.639038242075 43.018539202326, -85.637895241315 43.018863202994, -85.637802241167 43.018887202611, -85.63705624025 43.019103202831, -85.63650824108 43.019290203152, -85.636160240386 43.019439203561, -85.635022240405 43.018865202352, -85.633627239742 43.018173203205, -85.633340240073 43.018040203612, -85.633167239925 43.017978203581, -85.632842239973 43.017852202741, -85.632641239445 43.017788203393, -85.632230239332 43.017671203206, -85.631429239243 43.017496203223, -85.630809239291 43.017408202837, -85.628959238663 43.017180203672, -85.625372237102 43.016748203729, -85.62500323719 43.016704202761, -85.618759235578 43.015963203239, -85.61774523472 43.015835204226, -85.616987234793 43.015711203192, -85.616446234451 43.015613203703, -85.61575023412 43.015453202903, -85.61506823409 43.015282203832, -85.614310234354 43.015058203914, -85.613499232547 43.014772203254, -85.613002233764 43.014584203441, -85.612339233684 43.014302202976, -85.611393232171 43.013853204154, -85.610387231832 43.013278203649, -85.610093231715 43.013078203034, -85.609677231523 43.01280320292, -85.609408231288 43.012616203218, -85.608893232372 43.01222220332, -85.608259231817 43.011698203506, -85.607697230742 43.011155203265, -85.607261230566 43.010702202923, -85.606941231757 43.010331203663, -85.606417230692 43.009650202962, -85.606169229936 43.009284203555, -85.605929230653 43.008909203038, -85.60571722964 43.008531203129, -85.605566230518 43.008231202886, -85.605456230049 43.008014202904, -85.60528423017 43.007624202801, -85.605124230554 43.007220203334, -85.604948229515 43.006720202523, -85.604837230689 43.006301202697, -85.604770229756 43.006015202277, -85.604675230395 43.005477202567, -85.604603230011 43.004930202444, -85.604568229025 43.00401120264, -85.604566229533 43.002695202588, -85.604594228754 43.001276201389, -85.604627228267 42.998825200965, -85.60497522865 42.998827201906, -85.606369229552 42.99882320093, -85.608596230901 42.998818200775, -85.609924230684 42.998815201658, -85.610196230619 42.998818200524, -85.611420231573 42.998828201352, -85.611580231038 42.998829200914, -85.612476231266 42.99883720053, -85.613409232004 42.998840201075, -85.613651231639 42.998842200669, -85.615178231486 42.998864201178, -85.616863233401 42.998875201133, -85.618853233024 42.998885200396, -85.62019123409 42.99889320126, -85.621853234124 42.99891120113, -85.623882234914 42.998921200432, -85.625115235618 42.998948200572, -85.626944236103 42.998945199996, -85.627084235546 42.998946200525, -85.627310236 42.998947200106, -85.629989237289 42.998959199763, -85.631411237202 42.998967200626, -85.632074237714 42.998968200573, -85.632548238084 42.998968200083, -85.634697238241 42.998959200058, -85.635585238587 42.998959200027, -85.635820238265 42.998963200234, -85.637424239475 42.998972199736, -85.63853923872 42.998969199721, -85.6399012401 42.998972200201, -85.639897239678 42.999811200238)))",69,300,26081000300,43.0093605,-85.6272836,14000US26081000300,10031992.6054688,12767.6806140148
07/01/2019 12:00:00 AM,06/30/2020 12:00:00 AM,Census Tract,4,0.63,,"MULTIPOLYGON (((-85.655949245003 42.999829198926, -85.655637244909 43.00025119917, -85.655312244182 43.000638199014, -85.655132244687 43.00090219925, -85.654526245002 43.00167519929, -85.654040244899 43.002325199279, -85.653811244522 43.002611199492, -85.653679243969 43.002790199875, -85.65312224487 43.003500199198, -85.653036244314 43.003610199729, -85.652371243424 43.004461199505, -85.652222244321 43.004672199221, -85.651711244212 43.005332199395, -85.651019243578 43.006224200807, -85.650905244071 43.006394199863, -85.650354244622 43.007201200364, -85.650082243765 43.007546200763, -85.649930243089 43.007776200817, -85.649880243841 43.007837200471, -85.649409243237 43.008585200627, -85.648979243064 43.009218200743, -85.64856224323 43.009841200541, -85.648307243955 43.010223201784, -85.647938243198 43.010742200972, -85.647360243036 43.01158820136, -85.646761243674 43.012507202217, -85.646167243292 43.013401201904, -85.645626243214 43.014311202232, -85.645344242891 43.014796201602, -85.644919242503 43.015496201908, -85.644758242343 43.015787201999, -85.644565242555 43.016031202618, -85.644365243387 43.016271202331, -85.644167243485 43.016465203075, -85.643947242227 43.016656202705, -85.643691242856 43.016854202914, -85.643458243104 43.017017201885, -85.643214243013 43.01716420233, -85.642487242634 43.017494202453, -85.641629242445 43.017793202168, -85.640348241773 43.018159203034, -85.639699241394 43.018359202801, -85.639736241806 43.016543202631, -85.63973324161 43.015647203222, -85.639732241105 43.01490420263, -85.639747240664 43.013391201467, -85.639761241326 43.012490201416, -85.639773240384 43.011580202075, -85.639780241565 43.010692201807, -85.639793240207 43.00981520169, -85.639793240534 43.009730201332, -85.63979124 43.009069201448, -85.639802240759 43.008370201802, -85.639806239798 43.008120200835, -85.639809240027 43.007654200465, -85.639817240815 43.00725620159, -85.639823241551 43.006938200528, -85.639832240308 43.006221200814, -85.639851240308 43.005307200668, -85.639855239892 43.004994200522, -85.63985824085 43.004434199647, -85.63986823956 43.003822200613, -85.639858240115 43.003088200518, -85.639878239968 43.002277200312, -85.639880240339 43.001447200146, -85.639894239668 43.000617199886, -85.639896240383 43.000052199232, -85.639897239678 42.999811200238, -85.6399012401 42.998972200201, -85.640089239527 42.998974198775, -85.64140024049 42.998976199113, -85.643457240118 42.998979199066, -85.644853241617 42.998979199001, -85.646086241616 42.998979198768, -85.647302241923 42.998982199446, -85.647478242197 42.998982198699, -85.648624241865 42.998981198869, -85.648978243031 42.998982198864, -85.64980024307 42.998984198777, -85.650219242749 42.998982198916, -85.650999242528 42.99902119859, -85.652208242684 42.99904019852, -85.653385243362 42.99903719836, -85.65656924484 42.999044199187, -85.655949245003 42.999829198926)))",68,400,26081000400,43.0065784,-85.6478324,14000US26081000400,3146206.73828125,8383.28882311371
07/01/2019 12:00:00 AM,06/30/2020 12:00:00 AM,Census Tract,33,1,,"MULTIPOLYGON (((-85.639530236101 42.954622192563, -85.637047234847 42.954630191515, -85.634670233937 42.954612191995, -85.632936233641 42.954611192569, -85.632908232448 42.953668192788, -85.631611232688 42.953658192312, -85.630400232664 42.953655192447, -85.630433232213 42.954766192213, -85.630043231836 42.954525193145, -85.630010232444 42.951885191795, -85.629996231178 42.950413192644, -85.629976231634 42.948249191695, -85.629967231736 42.946262191104, -85.629959230657 42.945312191346, -85.629940231143 42.9443221907, -85.629922231128 42.943098190588, -85.629909231168 42.942193190482, -85.629895231034 42.940999190229, -85.629968231535 42.940999190337, -85.63005223173 42.940999189767, -85.631157231732 42.940999189979, -85.632332231323 42.941009190691, -85.633412231324 42.941023189942, -85.633534232207 42.941022189598, -85.634520232105 42.941020189437, -85.634682231985 42.94101919006, -85.635706233106 42.941026190268, -85.635984232826 42.941024189707, -85.636908232953 42.941032190546, -85.637157232583 42.94103319074, -85.63807023235 42.941036189323, -85.63833223381 42.94103419041, -85.6394112341 42.941049190439, -85.639403234205 42.942852190225, -85.639393234056 42.944654190604, -85.639415233797 42.945584190574, -85.639427234627 42.946481190393, -85.63943523387 42.94739419039, -85.639445235091 42.948301191513, -85.63946523423 42.949207191, -85.639470234774 42.950093191024, -85.63948223533 42.950940192232, -85.639500234897 42.95192119131, -85.63949923466 42.952645191351, -85.639495234422 42.952817191304, -85.639504234907 42.953043191665, -85.639494234715 42.953722192448, -85.639530236101 42.954622192563)))",43,3300,26081003300,42.947692,-85.6347604,14000US26081003300,2140678.85546875,6563.42131932405
07/01/2019 12:00:00 AM,06/30/2020 12:00:00 AM,Census Tract,5,0.98,,"MULTIPOLYGON (((-85.672747249336 42.999898197868, -85.672482251303 43.01349020014, -85.672478251022 43.01371620048, -85.672280251329 43.013752200432, -85.671432250812 43.013851201073, -85.669524250925 43.013775200621, -85.668287250456 43.013725200266, -85.663916247964 43.013547200254, -85.663727248335 43.013547200763, -85.661445247479 43.013529200705, -85.660073247534 43.01351520112, -85.65731324695 43.013491200597, -85.655616246299 43.013480201269, -85.654462245909 43.013461201972, -85.652654245057 43.013447201153, -85.650871244048 43.013428201269, -85.650287244231 43.013425200773, -85.649651244332 43.013415201652, -85.649230244065 43.013415201257, -85.648130244215 43.01341520145, -85.646167243292 43.013401201904, -85.646761243674 43.012507202217, -85.647360243036 43.01158820136, -85.647938243198 43.010742200972, -85.648307243955 43.010223201784, -85.64856224323 43.009841200541, -85.648979243064 43.009218200743, -85.649409243237 43.008585200627, -85.649880243841 43.007837200471, -85.649930243089 43.007776200817, -85.650082243765 43.007546200763, -85.650354244622 43.007201200364, -85.650905244071 43.006394199863, -85.651019243578 43.006224200807, -85.651711244212 43.005332199395, -85.652222244321 43.004672199221, -85.652371243424 43.004461199505, -85.653036244314 43.003610199729, -85.65312224487 43.003500199198, -85.653679243969 43.002790199875, -85.653811244522 43.002611199492, -85.654040244899 43.002325199279, -85.654526245002 43.00167519929, -85.655132244687 43.00090219925, -85.655312244182 43.000638199014, -85.655637244909 43.00025119917, -85.655949245003 42.999829198926, -85.65656924484 42.999044199187, -85.658267245511 42.999057198092, -85.659712246152 42.999059198831, -85.660889246008 42.999083198434, -85.662126246198 42.99907819807, -85.663292246919 42.999097197748, -85.664634246615 42.999111197666, -85.666008247801 42.99912819833, -85.667338248851 42.999139198187, -85.668011248188 42.999158198044, -85.669004248137 42.999164198243, -85.669710248784 42.999175197446, -85.670352248441 42.999171198071, -85.670636249327 42.99919219774, -85.67071724842 42.999223198358, -85.670801249192 42.999264198168, -85.671924248938 42.999256198172, -85.672762250808 42.999146198572, -85.672747249336 42.999898197868)))",64,500,26081000500,43.0051474,-85.6621873,14000US26081000500,5260606.18359375,9432.6056880739
