INCNUMBER,OFFENSECODE,Beat #,Service Area,MICRCODE,Offense Description,NIBRS Maping,NIBRS Category,NIBRS GRP,OFFENSETITLE,DATEOFOFFENSE,Day of week,Weapon Type,INCIDENT LOCATION BLOCK ADDRESS,Month
22-069959,1313,S3,South,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/10/2022 11:11:02 PM,Saturday,Unknown,800 BLOCK SHELDON AV SE,December
22-069962,1313,C3,Central,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/10/2022 11:15:00 PM,Saturday,Personal Weapons,200 BLOCK JEFFERSON AV SE,December
22-069997,1313,S3,South,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/11/2022 02:58:54 AM,Sunday,Personal Weapons,900 BLOCK CASS AV SE,December
22-070024,1313,W1,West,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/11/2022 09:49:39 AM,Sunday,Personal Weapons,2400 BLOCK RICHMOND ST NW,December
22-070025,1313,W5,West,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/11/2022 09:52:15 AM,Sunday,Personal Weapons,300 BLOCK STRAIGHT AV NW,December
22-070029,1313,W5,West,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/11/2022 09:52:00 AM,Sunday,Personal Weapons,300 BLOCK STRAIGHT AV NW,December
22-070066,1313,W4,West,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/11/2022 03:38:56 PM,Sunday,Personal Weapons,1300 BLOCK HAMILTON AV NW,December
22-070081,1313,N8,North,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/11/2022 05:05:14 PM,Sunday,Personal Weapons,1000 BLOCK FULTON ST,December
22-070083,1313,W6,West,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/11/2022 06:00:05 PM,Sunday,Personal Weapons,100 BLOCK LEXINGTON AV NW,December
22-070089,1313,N5,North,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/11/2022 06:44:32 PM,Sunday,Personal Weapons,2000 BLOCK BAYOU CT NE,December
