ID Citizenship,Citizenship,ID Year,Year,Citizenship Status,Geography,ID Geography,Slug Geography,Citizenship %
0,"Citizen",2016,"2016",160510,"Kent County (Southeast) PUMA, MI","79500US2601003","kent-county-southeast-puma-mi",0.95940849128218
0,"Citizen",2015,"2015",294245828,"United States","01000US","united-states",0.9296425397769669
0,"Citizen",2015,"2015",9595888,"Michigan","04000US26","michigan",0.969225714355263
0,"Citizen",2015,"2015",593488,"Kent County, MI","05000US26081","kent-county-mi",0.9532565572848906
0,"Citizen",2015,"2015",179005,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",0.9303020538832529
0,"Citizen",2015,"2015",979664,"Grand Rapids-Wyoming, MI","31000US24340","grand-rapids-wyoming-mi",0.9624581359044364
0,"Citizen",2015,"2015",136361,"Kent County (Southwest) PUMA, MI","79500US2601001","kent-county-southwest-puma-mi",0.9501978983750035
0,"Citizen",2015,"2015",179553,"Grand Rapids City Area PUMA, MI","79500US2601002","grand-rapids-city-area-puma-mi",0.9295654334793279
0,"Citizen",2015,"2015",158325,"Kent County (Southeast) PUMA, MI","79500US2601003","kent-county-southeast-puma-mi",0.9603428301074225
0,"Citizen",2014,"2014",291850247,"United States","01000US","united-states",0.9291425181610995
0,"Citizen",2014,"2014",9586738,"Michigan","04000US26","michigan",0.9694321704548396
0,"Citizen",2014,"2014",587452,"Kent County, MI","05000US26081","kent-county-mi",0.9546151083637616
0,"Citizen",2014,"2014",177342,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",0.9297626599699065
0,"Citizen",2014,"2014",970586,"Grand Rapids-Wyoming, MI","31000US24340","grand-rapids-wyoming-mi",0.9635243301840809
0,"Citizen",2014,"2014",135642,"Kent County (Southwest) PUMA, MI","79500US2601001","kent-county-southwest-puma-mi",0.9563231032805263
0,"Citizen",2014,"2014",177807,"Grand Rapids City Area PUMA, MI","79500US2601002","grand-rapids-city-area-puma-mi",0.9293939314742702
0,"Citizen",2014,"2014",156441,"Kent County (Southeast) PUMA, MI","79500US2601003","kent-county-southeast-puma-mi",0.9615954366920935
0,"Citizen",2013,"2013",289401591,"United States","01000US","united-states",0.9289489471660591
0,"Citizen",2013,"2013",9583381,"Michigan","04000US26","michigan",0.9693798208493849
0,"Citizen",2013,"2013",583094,"Kent County, MI","05000US26081","kent-county-mi",0.9566069061462339
0,"Citizen",2013,"2013",176196,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",0.9286425804411416
0,"Citizen",2013,"2013",963473,"Grand Rapids-Wyoming, MI","31000US24340","grand-rapids-wyoming-mi",0.9645185380952953
0,"Citizen",2013,"2013",134907,"Kent County (Southwest) PUMA, MI","79500US2601001","kent-county-southwest-puma-mi",0.958745522769913
0,"Citizen",2013,"2013",176564,"Grand Rapids City Area PUMA, MI","79500US2601002","grand-rapids-city-area-puma-mi",0.928707434330258
0,"Citizen",2013,"2013",155438,"Kent County (Southeast) PUMA, MI","79500US2601003","kent-county-southeast-puma-mi",0.9673039105867125
