INCNUMBER,OFFENSECODE,Beat #,Service Area,MICRCODE,Offense Description,NIBRS Maping,NIBRS Category,NIBRS GRP,OFFENSETITLE,DATEOFOFFENSE,Day of week,Weapon Type,INCIDENT LOCATION BLOCK ADDRESS,Month
21-063323,3532,S7,South,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,10/16/2021 05:00:00 PM,Saturday,None,FRANKLIN ST SW & US131 XW NW,October
21-063366,5295,W4,West,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),10/17/2021 03:33:53 AM,Sunday,Other,1000 BLOCK TURNER AV NW,October
21-063447,3532,N1,North,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,10/17/2021 04:17:45 PM,Sunday,None,3300 BLOCK SALERNO DR NE,October
21-063501,5289,C3,Central,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - OTHER (WEAPON),10/17/2021 09:51:06 PM,Sunday,Blunt Object,300 BLOCK COMMERCE AV SW,October
21-063548,3547,E8,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Methamphetamine - Possess,10/18/2021 01:51:44 AM,Monday,None,DIVISION AV  & DETROIT ST SW,October
21-063553,3532,W4,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,10/18/2021 02:55:40 AM,Monday,None,MUSKEGON AV NW & LEONARD ST NW,October
21-063570,3592,E8,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Crack - Possess,10/18/2021 06:00:24 AM,Monday,None,100 BLOCK CUTLER ST SW,October
21-063683,5213,S8,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/18/2021 03:05:20 PM,Monday,Handgun,600 BLOCK CENTURY AV SW,October
21-063689,5213,S4,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/18/2021 06:17:32 PM,Monday,Handgun,600 BLOCK WORDEN ST SE,October
21-063776,3532,S5,South,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,10/19/2021 02:03:50 AM,Tuesday,None,800 BLOCK FRANKLIN ST SE,October
21-063970,3530,X,Other Jurisdiction,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Sell,10/19/2021 11:03:32 PM,Tuesday,None,6000 BLOCK KALAMAZOO AV SE,October
21-063970,5202,X,Other Jurisdiction,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CARRYING CONCEALED WEAPON (PERSON),10/19/2021 11:03:32 PM,Tuesday,Handgun,6000 BLOCK KALAMAZOO AV SE,October
21-063971,3590,X,Other Jurisdiction,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Crack - Sell,10/19/2021 11:26:52 PM,Tuesday,None,6000 BLOCK KALAMAZOO AV SE,October
21-064001,5213,N2,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/20/2021 03:08:53 AM,Wednesday,Firearm (type unknown),1200 BLOCK PLAINFIELD AV NE,October
21-064183,3532,S5,South,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,10/21/2021 12:50:56 AM,Thursday,None,1000 BLOCK FRANKLIN ST SE,October
