INCNUMBER,OFFENSECODE,Beat #,Service Area,MICRCODE,Offense Description,NIBRS Maping,NIBRS Category,NIBRS GRP,OFFENSETITLE,DATEOFOFFENSE,Day of week,Weapon Type,INCIDENT LOCATION BLOCK ADDRESS,Month
21-059621,5289,W5,West,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - OTHER (WEAPON),09/29/2021 12:58:09 AM,Wednesday,Other,DOUGLAS ST NW & LEXINGTON AV NW,September
21-059629,3530,W5,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Sell,09/29/2021 12:55:00 AM,Wednesday,None,DOUGLAS ST NW & LEXINGTON AV NW,September
21-059630,5289,W5,West,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - OTHER (WEAPON),09/29/2021 12:59:00 AM,Wednesday,Other,600 BLOCK DOUGLAS ST NW,September
21-059716,3532,W4,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,09/29/2021 12:30:00 PM,Wednesday,None,11TH ST NW & HAMILTON AV NW,September
21-059841,3592,N2,North,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Crack - Possess,09/30/2021 12:00:00 AM,Thursday,None,CURTIS ST NE & COLLEGE AV NE,September
21-059844,3590,N2,North,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Crack - Sell,09/30/2021 12:00:00 AM,Thursday,None,CURTIS ST NE & COLLEGE AV NE,September
21-059963,5213,W6,West,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",09/30/2021 03:07:27 PM,Thursday,Handgun,300 BLOCK FRONT AV SW,September
21-060044,3592,E8,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Crack - Possess,09/30/2021 10:46:44 PM,Thursday,None,0 BLOCK CUTLER ST SW,September
21-060077,3547,W3,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Methamphetamine - Possess,10/01/2021 02:09:38 AM,Friday,None,TAMARACK AV NW & THORNAPPLE CT NW,October
21-060077,5295,W3,West,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),10/01/2021 02:09:38 AM,Friday,Other,TAMARACK AV NW & THORNAPPLE CT NW,October
21-060286,5295,S7,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),10/02/2021 01:06:00 AM,Saturday,Handgun,0 BLOCK HALL ST SW,October
21-060286,5299,S7,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),10/02/2021 01:06:00 AM,Saturday,Handgun,0 BLOCK HALL ST SW,October
21-060288,5289,W5,West,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - OTHER (WEAPON),10/02/2021 01:13:13 AM,Saturday,Other,STOCKING AV NW & 1ST ST NW,October
21-060290,5213,W5,West,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/02/2021 01:20:12 AM,Saturday,Handgun,600 BLOCK BRIDGE ST NW,October
21-060296,5295,S7,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),10/02/2021 01:06:00 AM,Saturday,Handgun,HALL ST SE & DIVISION AV,October
21-060296,5299,S7,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),10/02/2021 01:06:00 AM,Saturday,Handgun,HALL ST SE & DIVISION AV,October
21-060297,3560,W5,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Marijuana - Sell,10/02/2021 01:15:00 AM,Saturday,None,STOCKING AV NW & 1ST ST NW,October
21-060297,3542,W5,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Synthetic Narcotic - Possess,10/02/2021 01:15:00 AM,Saturday,None,STOCKING AV NW & 1ST ST NW,October
21-060354,5299,N4,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),10/02/2021 07:06:00 AM,Saturday,Handgun,MAYBELLE ST NE & DIAMOND AV NE,October
21-060385,5213,E8,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/02/2021 12:41:53 PM,Saturday,Firearm (type unknown),100 BLOCK DICKINSON ST SW,October
21-060416,5213,E8,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/02/2021 04:00:40 PM,Saturday,Firearm (type unknown),300 BLOCK BURTON ST SW,October
21-060482,5213,S6,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/02/2021 10:41:06 PM,Saturday,Firearm (type unknown),900 BLOCK CALVIN AV SE,October
21-060522,5213,E5,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/03/2021 02:37:54 AM,Sunday,Handgun,1500 BLOCK 28TH ST SE,October
21-060635,5299,N5,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),10/03/2021 06:47:00 PM,Sunday,Firearm (type unknown),AUBURN AV NE & TRAVIS ST NE,October
21-060016,5202,S4,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CARRYING CONCEALED WEAPON (PERSON),09/30/2021 08:00:00 PM,Thursday,Automatic Firearm,500 BLOCK EASTERN AV SE,September
21-060785,5213,S5,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/04/2021 12:00:00 AM,Monday,Handgun,1000 BLOCK BATES ST SE,October
21-060907,3532,W4,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,10/05/2021 03:29:44 AM,Tuesday,None,LEONARD ST NW & TURNER AV NW,October
21-060941,3592,C3,Central,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Crack - Possess,10/05/2021 09:11:04 AM,Tuesday,None,WESTON ST SE & JEFFERSON AV SE,October
21-061035,5213,S6,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/05/2021 06:14:27 PM,Tuesday,Handgun,1100 BLOCK PRINCE ST SE,October
21-061132,3532,C3,Central,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,10/06/2021 03:21:46 AM,Wednesday,None,200 BLOCK JEFFERSON AV SE,October
21-061256,3547,S8,South,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Methamphetamine - Possess,10/06/2021 08:18:00 PM,Wednesday,None,MARKET AV SW & WEALTHY ST SW,October
21-061257,5295,S7,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),10/06/2021 09:08:21 PM,Wednesday,Handgun,700 BLOCK DIVISION AV,October
21-061257,3592,S7,South,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Crack - Possess,10/06/2021 09:08:21 PM,Wednesday,None,700 BLOCK DIVISION AV,October
21-061257,5299,S7,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),10/06/2021 09:08:21 PM,Wednesday,Knife/Cutting Instrument,700 BLOCK DIVISION AV,October
21-061271,5289,E1,East,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - OTHER (WEAPON),10/06/2021 10:50:50 PM,Wednesday,Other,0 BLOCK BURTON ST SE,October
21-061289,3530,W4,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Sell,10/07/2021 12:05:00 AM,Thursday,None,LEONARD ST NW & TURNER AV NW,October
21-061368,5289,C3,Central,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - OTHER (WEAPON),10/07/2021 03:26:00 PM,Thursday,Knife/Cutting Instrument,DIVISION AV  & OAKES ST SE,October
21-061368,3547,C3,Central,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Methamphetamine - Possess,10/07/2021 03:26:00 PM,Thursday,None,DIVISION AV  & OAKES ST SE,October
21-061412,3592,N3,North,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Crack - Possess,10/07/2021 08:40:00 PM,Thursday,None,200 BLOCK BARNETT ST NE,October
