"Label (Grouping)","Grand Rapids city, Michigan!!Total!!Estimate","Grand Rapids city, Michigan!!Total!!Margin of Error","Grand Rapids city, Michigan!!Male!!Estimate","Grand Rapids city, Michigan!!Male!!Margin of Error","Grand Rapids city, Michigan!!Female!!Estimate","Grand Rapids city, Michigan!!Female!!Margin of Error"
"Population 16 years and over with earnings","100,649","±1,226","51,302","±1,086","49,347","±957"
"Median earnings (dollars)","22,160","±548","24,763","±1,077","20,128","±790"
"Full-time, year-round workers with earnings","52,511","±1,370","29,190","±884","23,321","±829"
"$1 to $9,999 or loss","3.5%","±0.6","3.0%","±0.7","4.1%","±0.9"
"$10,000 to $14,999","5.2%","±0.7","5.2%","±0.9","5.2%","±0.9"
"$15,000 to $24,999","17.7%","±1.2","16.5%","±1.6","19.2%","±1.6"
"$25,000 to $34,999","20.5%","±1.1","19.2%","±1.6","22.0%","±2.0"
"$35,000 to $49,999","24.3%","±1.0","23.1%","±1.7","25.7%","±1.8"
"$50,000 to $64,999","13.7%","±1.0","14.5%","±1.3","12.8%","±1.6"
"$65,000 to $74,999","4.9%","±0.7","5.9%","±1.0","3.7%","±0.7"
"$75,000 to $99,999","5.8%","±0.6","6.6%","±0.9","4.8%","±0.9"
"$100,000 or more","4.5%","±0.6","6.0%","±0.9","2.6%","±0.6"
"Median earnings (dollars)","(X)","(X)","38,055","±1,427","34,773","±848"
"Mean earnings (dollars)","44,272","±1,181","48,238","±1,830","39,309","±1,036"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over with earnings","28,882","±1,037","31,349","±815","25,931","±843"
"    Less than high school graduate","15,653","±852","16,454","±1,086","13,973","±1,892"
"    High school graduate (includes equivalency)","24,068","±1,525","26,667","±1,451","19,708","±1,816"
"    Some college or associate's degree","28,004","±1,306","31,512","±875","24,333","±1,226"
"    Bachelor's degree","39,003","±2,177","46,449","±3,221","34,271","±1,407"
"    Graduate or professional degree","54,623","±2,717","61,835","±5,398","51,261","±2,348"
"PERCENT IMPUTED","","","","","",""
"    Earnings in the past 12 months","13.0%","(X)","(X)","(X)","(X)","(X)"
