"Label (Grouping)","Grand Rapids city, Michigan!!Total!!Estimate","Grand Rapids city, Michigan!!Total!!Margin of Error","Grand Rapids city, Michigan!!Male!!Estimate","Grand Rapids city, Michigan!!Male!!Margin of Error","Grand Rapids city, Michigan!!Female!!Estimate","Grand Rapids city, Michigan!!Female!!Margin of Error"
"Population 16 years and over with earnings","99,381","±1,275","50,111","±970","49,270","±890"
"Median earnings (dollars)","22,169","±443","25,525","±608","20,236","±665"
"Full-time, year-round workers with earnings","52,628","±1,084","28,690","±860","23,938","±789"
"    $1 to $9,999 or loss","2.8%","±0.7","2.6%","±0.9","3.1%","±0.8"
"    $10,000 to $14,999","4.9%","±0.6","4.2%","±0.8","5.6%","±1.1"
"    $15,000 to $24,999","17.1%","±1.2","15.1%","±1.3","19.4%","±1.7"
"    $25,000 to $34,999","21.0%","±1.2","21.3%","±1.6","20.7%","±1.8"
"    $35,000 to $49,999","23.4%","±1.3","21.5%","±1.8","25.6%","±2.1"
"    $50,000 to $64,999","14.4%","±1.1","14.9%","±1.4","13.7%","±1.7"
"    $65,000 to $74,999","4.6%","±0.7","5.7%","±0.9","3.3%","±0.7"
"    $75,000 to $99,999","6.5%","±0.6","7.5%","±0.9","5.3%","±0.9"
"    $100,000 or more","5.4%","±0.7","7.1%","±1.0","3.4%","±0.8"
"Median earnings (dollars)","(X)","(X)","39,517","±1,450","35,466","±749"
"Mean earnings (dollars)","46,102","±1,208","50,714","±1,975","40,575","±929"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over with earnings","28,842","±777","31,065","±642","26,504","±833"
"        Less than high school graduate","16,095","±1,045","17,253","±1,452","14,197","±1,485"
"        High school graduate (includes equivalency)","22,669","±1,466","26,130","±1,155","19,724","±1,759"
"        Some college or associate's degree","27,421","±1,110","30,468","±1,159","25,373","±1,547"
"        Bachelor's degree","37,016","±1,481","43,740","±2,800","33,863","±1,431"
"        Graduate or professional degree","53,144","±2,488","59,181","±4,892","49,648","±2,232"
"PERCENT IMPUTED","","","","","",""
"    Earnings in the past 12 months","15.1%","(X)","(X)","(X)","(X)","(X)"
