,Label (Grouping),Total,Total Margin of Error,Male,Male Margin of Error,Female,Female Margin of Error,Year
71,"    $1 to $9,999 or loss",2.6,5.0,2.4,6.0,2.9,8.0,2015
72,"    $10,000 to $14,999",5.7,7.0,4.6,8.0,7.0,13.0,2015
73,"    $15,000 to $24,999",17.8,13.0,16.7,14.0,19.2,19.0,2015
74,"    $25,000 to $34,999",20.6,11.0,20.6,16.0,20.6,15.0,2015
75,"    $35,000 to $49,999",22.5,12.0,21.4,16.0,23.9,21.0,2015
76,"    $50,000 to $64,999",14.2,11.0,14.2,13.0,14.1,17.0,2015
77,"    $65,000 to $74,999",4.8,6.0,5.6,8.0,3.8,8.0,2015
78,"    $75,000 to $99,999",6.2,7.0,7.0,9.0,5.1,9.0,2015
79,"    $100,000 or more",5.6,6.0,7.4,9.0,3.4,9.0,2015
80,"Full-time, year-round workers with earnings",52628.0,1084.0,28690.0,860.0,23938.0,789.0,2014
81,"    $1 to $9,999 or loss",2.8,7.0,2.6,9.0,3.1,8.0,2014
82,"    $10,000 to $14,999",4.9,6.0,4.2,8.0,5.6,11.0,2014
83,"    $15,000 to $24,999",17.1,12.0,15.1,13.0,19.4,17.0,2014
84,"    $25,000 to $34,999",21.0,12.0,21.3,16.0,20.7,18.0,2014
85,"    $35,000 to $49,999",23.4,13.0,21.5,18.0,25.6,21.0,2014
86,"    $50,000 to $64,999",14.4,11.0,14.9,14.0,13.7,17.0,2014
87,"    $65,000 to $74,999",4.6,7.0,5.7,9.0,3.3,7.0,2014
88,"    $75,000 to $99,999",6.5,6.0,7.5,9.0,5.3,9.0,2014
89,"    $100,000 or more",5.4,7.0,7.1,10.0,3.4,8.0,2014
90,"Full-time, year-round workers with earnings",51689.0,1313.0,28505.0,779.0,23184.0,883.0,2013
91,"    $1 to $9,999 or loss",3.1,6.0,3.2,8.0,3.0,9.0,2013
92,"    $10,000 to $14,999",4.9,8.0,4.5,8.0,5.4,13.0,2013
93,"    $15,000 to $24,999",17.4,11.0,15.5,15.0,19.6,15.0,2013
94,"    $25,000 to $34,999",20.9,12.0,20.5,17.0,21.5,19.0,2013
95,"    $35,000 to $49,999",24.5,12.0,23.3,16.0,25.9,19.0,2013
96,"    $50,000 to $64,999",13.7,10.0,14.4,13.0,12.7,16.0,2013
97,"    $65,000 to $74,999",4.9,6.0,5.9,9.0,3.7,7.0,2013
98,"    $75,000 to $99,999",5.7,6.0,6.3,8.0,5.1,9.0,2013
99,"    $100,000 or more",4.9,7.0,6.3,10.0,3.1,7.0,2013
100,"Full-time, year-round workers with earnings",52632.0,1240.0,29260.0,889.0,23372.0,874.0,2012
101,"$1 to $9,999 or loss",3.2,6.0,3.2,8.0,3.2,8.0,2012
102,"$10,000 to $14,999",5.1,6.0,4.8,7.0,5.5,10.0,2012
103,"$15,000 to $24,999",17.4,11.0,16.0,15.0,19.0,18.0,2012
104,"$25,000 to $34,999",21.2,11.0,20.0,17.0,22.6,18.0,2012
105,"$35,000 to $49,999",24.1,13.0,22.8,17.0,25.8,22.0,2012
106,"$50,000 to $64,999",14.1,11.0,14.8,15.0,13.2,16.0,2012
107,"$65,000 to $74,999",5.1,7.0,6.0,9.0,3.9,9.0,2012
108,"$75,000 to $99,999",5.1,7.0,6.1,10.0,3.9,8.0,2012
109,"$100,000 or more",4.7,6.0,6.3,11.0,2.8,7.0,2012
110,"Full-time, year-round workers with earnings",52511.0,1370.0,29190.0,884.0,23321.0,829.0,2011
111,"$1 to $9,999 or loss",3.5,6.0,3.0,7.0,4.1,9.0,2011
112,"$10,000 to $14,999",5.2,7.0,5.2,9.0,5.2,9.0,2011
113,"$15,000 to $24,999",17.7,12.0,16.5,16.0,19.2,16.0,2011
114,"$25,000 to $34,999",20.5,11.0,19.2,16.0,22.0,20.0,2011
115,"$35,000 to $49,999",24.3,10.0,23.1,17.0,25.7,18.0,2011
116,"$50,000 to $64,999",13.7,10.0,14.5,13.0,12.8,16.0,2011
117,"$65,000 to $74,999",4.9,7.0,5.9,10.0,3.7,7.0,2011
