"Label (Grouping)","Grand Rapids city, Michigan!!Total!!Estimate","Grand Rapids city, Michigan!!Total!!Margin of Error","Grand Rapids city, Michigan!!Percent!!Estimate","Grand Rapids city, Michigan!!Percent!!Margin of Error","Grand Rapids city, Michigan!!Male!!Estimate","Grand Rapids city, Michigan!!Male!!Margin of Error","Grand Rapids city, Michigan!!Percent Male!!Estimate","Grand Rapids city, Michigan!!Percent Male!!Margin of Error","Grand Rapids city, Michigan!!Female!!Estimate","Grand Rapids city, Michigan!!Female!!Margin of Error","Grand Rapids city, Michigan!!Percent Female!!Estimate","Grand Rapids city, Michigan!!Percent Female!!Margin of Error"
"Population 16 years and over with earnings","114,798","±1,184","114,798","±1,184","59,736","±1,179","59,736","±1,179","55,062","±1,061","55,062","±1,061"
"    Median earnings (dollars)","27,482","±631","(X)","(X)","30,580","±528","(X)","(X)","24,431","±961","(X)","(X)"
"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","66,116","±1,275","66,116","±1,275","37,557","±1,002","37,557","±1,002","28,559","±943","28,559","±943"
"        $1 to $9,999 or loss","1,221","±298","1.8%","±0.4","591","±227","1.6%","±0.6","630","±179","2.2%","±0.6"
"        $10,000 to $14,999","2,401","±398","3.6%","±0.6","1,082","±229","2.9%","±0.6","1,319","±271","4.6%","±0.9"
"        $15,000 to $24,999","9,751","±640","14.7%","±0.9","5,089","±458","13.6%","±1.2","4,662","±401","16.3%","±1.3"
"        $25,000 to $34,999","13,557","±780","20.5%","±1.1","7,451","±601","19.8%","±1.4","6,106","±520","21.4%","±1.7"
"        $35,000 to $49,999","15,178","±705","23.0%","±1.0","8,202","±473","21.8%","±1.2","6,976","±623","24.4%","±1.9"
"        $50,000 to $64,999","10,586","±685","16.0%","±1.0","6,339","±509","16.9%","±1.3","4,247","±399","14.9%","±1.4"
"        $65,000 to $74,999","3,403","±325","5.1%","±0.5","1,930","±232","5.1%","±0.6","1,473","±257","5.2%","±0.9"
"        $75,000 to $99,999","5,446","±472","8.2%","±0.7","3,518","±359","9.4%","±0.9","1,928","±244","6.8%","±0.9"
"        $100,000 or more","4,573","±400","6.9%","±0.6","3,355","±330","8.9%","±0.8","1,218","±210","4.3%","±0.7"
"        Median earnings (dollars) for full-time, year-round workers with earnings","40,072","±700","(X)","(X)","41,920","±1,033","(X)","(X)","37,764","±1,148","(X)","(X)"
"        Mean earnings (dollars) for full-time, year-round workers with earnings","50,997","±1,329","(X)","(X)","55,526","±1,890","(X)","(X)","45,042","±1,236","(X)","(X)"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 25 years and over with earnings","32,532","±798","(X)","(X)","36,597","±966","(X)","(X)","30,603","±552","(X)","(X)"
"        Less than high school graduate","20,155","±1,402","(X)","(X)","23,006","±2,813","(X)","(X)","15,804","±1,683","(X)","(X)"
"        High school graduate (includes equivalency)","26,208","±1,196","(X)","(X)","30,065","±1,192","(X)","(X)","21,451","±1,049","(X)","(X)"
"        Some college or associate's degree","30,391","±805","(X)","(X)","33,097","±2,390","(X)","(X)","26,469","±1,177","(X)","(X)"
"        Bachelor's degree","42,612","±1,375","(X)","(X)","48,493","±2,093","(X)","(X)","39,190","±1,619","(X)","(X)"
"        Graduate or professional degree","54,320","±1,690","(X)","(X)","62,007","±4,361","(X)","(X)","51,096","±1,539","(X)","(X)"
