Date,CE Green Purchasing,Oak Industrial Drive,RPS Amount for City Ops,RPS Requirement,Total,Total RE Baseline
2015,0.3,0.0,0.1,0.1,0.3,
2016,0.3,0.0,0.1,0.1,0.3,
2017,0.3,0.0,0.1,0.1,0.3,
2018,0.3,0.0,0.1,0.1,0.3,
2019,0.3,0.0,0.1,0.1,0.4,
2020,0.3,0.0,0.1,0.1,0.4,
