Geo,Group,Date,Year,Population,Tested,Pct_Tested,EBLL,Pct_EBLL,CEBLL,Pct_CEBLL,VEBLL,Pct_VEBLL,Ven_5_9,Pct_Ven_5_9,Ven_10_14,Pct_Ven_10_14,Ven_15_19,Pct_Ven_15_19,Ven_20_39,Pct_Ven_20_39,Ven_GTE_40,Pct_Ven_GTE_40
48001,Children 1-2,2016,2016,,111,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48001,Children 1-2,2017,2017,,108,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48001,Children 1-2,2018,2018,,86,,,,,,,,,,0,0,0,0,0,0,0,0
48001,Children 1-2,2019,2019,,89,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48001,Children 1-2,2020,2020,,63,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48001,Children < 6,2010,2010,,150,,9,0.06,9,0.06,0,0,0,0,0,0,0,0,0,0,0,0
48001,Children < 6,2011,2011,772,156,0.202,6,0.038,,,,,,,0,0,0,0,0,0,0,0
48001,Children < 6,2012,2012,714,167,0.234,9,0.054,9,0.054,0,0,0,0,0,0,0,0,0,0,0,0
48001,Children < 6,2013,2013,588,168,0.286,,,,,,,,,0,0,0,0,0,0,0,0
48001,Children < 6,2014,2014,594,144,0.242,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48001,Children < 6,2015,2015,539,144,0.267,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48001,Children < 6,2016,2016,608,179,0.294,,,,,,,,,0,0,0,0,0,0,0,0
48001,Children < 6,2017,2017,631,176,0.279,,,0,0,,,,,0,0,0,0,0,0,0,0
48001,Children < 6,2018,2018,631,132,0.209,,,,,,,,,0,0,0,0,0,0,0,0
48001,Children < 6,2019,2019,637,155,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48001,Children < 6,2020,2020,,91,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children 1-2,2010,2010,,12,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children 1-2,2011,2011,,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children 1-2,2012,2012,,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children 1-2,2013,2013,,10,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children 1-2,2014,2014,,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children 1-2,2015,2015,,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children 1-2,2016,2016,,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children 1-2,2017,2017,,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children 1-2,2018,2018,,21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children 1-2,2019,2019,,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children 1-2,2020,2020,,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children < 6,2010,2010,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children < 6,2011,2011,229,23,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children < 6,2012,2012,207,18,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children < 6,2013,2013,156,23,0.147,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children < 6,2014,2014,184,19,0.103,,,0,0,,,,,0,0,0,0,0,0,0,0
48002,Children < 6,2015,2015,167,16,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children < 6,2016,2016,144,29,0.201,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children < 6,2017,2017,129,25,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children < 6,2018,2018,129,27,0.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children < 6,2019,2019,148,28,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Children < 6,2020,2020,,13,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48003,Children 1-2,2010,2010,,18,,,,,,,,0,0,,,0,0,0,0,0,0
48003,Children 1-2,2011,2011,,27,,,,,,,,,,0,0,0,0,0,0,0,0
48003,Children 1-2,2012,2012,,32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48003,Children 1-2,2013,2013,,25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48003,Children 1-2,2014,2014,,33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48003,Children 1-2,2015,2015,,42,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48003,Children 1-2,2016,2016,,50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48003,Children 1-2,2017,2017,,52,,,,0,0,,,,,,,0,0,0,0,0,0
48003,Children 1-2,2018,2018,,46,,,,0,0,,,,,0,0,0,0,0,0,0,0
48003,Children 1-2,2019,2019,,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48003,Children 1-2,2020,2020,,58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48003,Children < 6,2010,2010,,36,,,,,,,,0,0,,,0,0,0,0,0,0
48003,Children < 6,2011,2011,351,46,0.131,,,,,,,,,0,0,0,0,0,0,0,0
48003,Children < 6,2012,2012,373,42,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48003,Children < 6,2013,2013,441,41,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48003,Children < 6,2014,2014,444,42,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48003,Children < 6,2015,2015,507,54,0.107,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48003,Children < 6,2016,2016,433,64,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48003,Children < 6,2017,2017,410,67,0.163,,,0,0,,,,,,,0,0,0,0,0,0
48003,Children < 6,2018,2018,410,72,0.176,,,0,0,,,,,0,0,0,0,0,0,0,0
48003,Children < 6,2019,2019,381,54,0.142,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48003,Children < 6,2020,2020,,78,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48004,Children 1-2,2013,2013,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48004,Children 1-2,2016,2016,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48004,Children 1-2,2018,2018,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48004,Children < 6,2011,2011,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48004,Children < 6,2013,2013,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48004,Children < 6,2016,2016,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48004,Children < 6,2018,2018,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children 1-2,2010,2010,,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children 1-2,2011,2011,,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children 1-2,2012,2012,,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children 1-2,2013,2013,,29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children 1-2,2014,2014,,24,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children 1-2,2015,2015,,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children 1-2,2016,2016,,27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children 1-2,2017,2017,,23,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children 1-2,2018,2018,,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children 1-2,2019,2019,,27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children 1-2,2020,2020,,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children < 6,2010,2010,,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children < 6,2011,2011,193,31,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children < 6,2012,2012,162,31,0.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children < 6,2013,2013,184,43,0.234,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children < 6,2014,2014,231,39,0.169,,,,,,,,,0,0,0,0,0,0,0,0
48005,Children < 6,2015,2015,324,25,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children < 6,2016,2016,341,42,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children < 6,2017,2017,340,34,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children < 6,2018,2018,340,40,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children < 6,2019,2019,350,41,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48005,Children < 6,2020,2020,,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children 1-2,2010,2010,,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children 1-2,2011,2011,,13,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children 1-2,2012,2012,,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children 1-2,2013,2013,,12,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children 1-2,2014,2014,,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children 1-2,2015,2015,,24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children 1-2,2016,2016,,19,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children 1-2,2018,2018,,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children 1-2,2019,2019,,24,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
