"Label (Grouping)","Grand Rapids city, Michigan!!Total!!Estimate","Grand Rapids city, Michigan!!Total!!Margin of Error","Grand Rapids city, Michigan!!Percent!!Estimate","Grand Rapids city, Michigan!!Percent!!Margin of Error","Grand Rapids city, Michigan!!Male!!Estimate","Grand Rapids city, Michigan!!Male!!Margin of Error","Grand Rapids city, Michigan!!Percent Male!!Estimate","Grand Rapids city, Michigan!!Percent Male!!Margin of Error","Grand Rapids city, Michigan!!Female!!Estimate","Grand Rapids city, Michigan!!Female!!Margin of Error","Grand Rapids city, Michigan!!Percent Female!!Estimate","Grand Rapids city, Michigan!!Percent Female!!Margin of Error"
"Population 16 years and over with earnings","115,411","±1,619","115,411","±1,619","59,950","±1,218","59,950","±1,218","55,461","±1,299","55,461","±1,299"
"    Median earnings (dollars)","29,013","±1,039","(X)","(X)","32,094","±1,034","(X)","(X)","25,070","±1,033","(X)","(X)"
"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","66,634","±1,881","66,634","±1,881","37,139","±1,328","37,139","±1,328","29,495","±1,153","29,495","±1,153"
"        $1 to $9,999 or loss","1,388","±367","2.1%","±0.5","497","±235","1.3%","±0.6","891","±351","3.0%","±1.2"
"        $10,000 to $14,999","1,917","±327","2.9%","±0.5","891","±224","2.4%","±0.6","1,026","±225","3.5%","±0.8"
"        $15,000 to $24,999","8,501","±697","12.8%","±1.0","3,952","±417","10.6%","±1.1","4,549","±486","15.4%","±1.5"
"        $25,000 to $34,999","13,313","±915","20.0%","±1.2","7,273","±615","19.6%","±1.6","6,040","±648","20.5%","±1.9"
"        $35,000 to $49,999","15,094","±925","22.7%","±1.2","7,789","±716","21.0%","±1.7","7,305","±654","24.8%","±1.9"
"        $50,000 to $64,999","11,421","±770","17.1%","±1.1","6,813","±654","18.3%","±1.7","4,608","±456","15.6%","±1.6"
"        $65,000 to $74,999","4,618","±794","6.9%","±1.1","2,775","±645","7.5%","±1.7","1,843","±306","6.2%","±1.0"
"        $75,000 to $99,999","5,757","±514","8.6%","±0.8","3,855","±415","10.4%","±1.1","1,902","±292","6.4%","±1.0"
"        $100,000 or more","4,625","±465","6.9%","±0.7","3,294","±368","8.9%","±0.9","1,331","±295","4.5%","±1.0"
"        Median earnings (dollars) for full-time, year-round workers with earnings","42,032","±803","(X)","(X)","45,452","±1,754","(X)","(X)","39,098","±1,514","(X)","(X)"
"        Mean earnings (dollars) for full-time, year-round workers with earnings","52,347","±1,348","(X)","(X)","57,264","±1,985","(X)","(X)","46,156","±1,833","(X)","(X)"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 25 years and over with earnings","34,525","±978","(X)","(X)","38,658","±1,576","(X)","(X)","31,071","±710","(X)","(X)"
"        Less than high school graduate","21,176","±1,103","(X)","(X)","24,535","±3,821","(X)","(X)","16,304","±1,683","(X)","(X)"
"        High school graduate (includes equivalency)","27,661","±1,427","(X)","(X)","31,195","±1,069","(X)","(X)","21,625","±1,316","(X)","(X)"
"        Some college or associate's degree","31,405","±961","(X)","(X)","37,105","±2,069","(X)","(X)","25,837","±1,613","(X)","(X)"
"        Bachelor's degree","44,215","±1,859","(X)","(X)","49,811","±2,597","(X)","(X)","40,727","±1,451","(X)","(X)"
"        Graduate or professional degree","52,554","±2,017","(X)","(X)","58,561","±5,441","(X)","(X)","49,982","±3,002","(X)","(X)"
