"Label (Grouping)","Grand Rapids city, Michigan!!Total!!Estimate","Grand Rapids city, Michigan!!Total!!Margin of Error","Grand Rapids city, Michigan!!Percent!!Estimate","Grand Rapids city, Michigan!!Percent!!Margin of Error","Grand Rapids city, Michigan!!Male!!Estimate","Grand Rapids city, Michigan!!Male!!Margin of Error","Grand Rapids city, Michigan!!Percent Male!!Estimate","Grand Rapids city, Michigan!!Percent Male!!Margin of Error","Grand Rapids city, Michigan!!Female!!Estimate","Grand Rapids city, Michigan!!Female!!Margin of Error","Grand Rapids city, Michigan!!Percent Female!!Estimate","Grand Rapids city, Michigan!!Percent Female!!Margin of Error"
"Population 16 years and over with earnings","112,169","±1,253","112,169","±1,253","57,866","±1,245","57,866","±1,245","54,303","±978","54,303","±978"
"    Median earnings (dollars)","26,368","±643","(X)","(X)","28,988","±1,103","(X)","(X)","23,325","±884","(X)","(X)"
"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","63,727","±1,267","63,727","±1,267","35,888","±979","35,888","±979","27,839","±997","27,839","±997"
"        $1 to $9,999 or loss","1,143","±262","1.8%","±0.4","488","±176","1.4%","±0.5","655","±185","2.4%","±0.6"
"        $10,000 to $14,999","2,868","±400","4.5%","±0.6","1,375","±264","3.8%","±0.7","1,493","±263","5.4%","±0.9"
"        $15,000 to $24,999","9,746","±659","15.3%","±1.0","5,245","±485","14.6%","±1.3","4,501","±411","16.2%","±1.3"
"        $25,000 to $34,999","13,501","±889","21.2%","±1.2","7,488","±632","20.9%","±1.6","6,013","±554","21.6%","±1.8"
"        $35,000 to $49,999","14,344","±751","22.5%","±1.2","7,365","±562","20.5%","±1.4","6,979","±521","25.1%","±1.8"
"        $50,000 to $64,999","9,995","±757","15.7%","±1.1","5,838","±577","16.3%","±1.5","4,157","±397","14.9%","±1.4"
"        $65,000 to $74,999","3,168","±342","5.0%","±0.5","1,913","±264","5.3%","±0.7","1,255","±175","4.5%","±0.6"
"        $75,000 to $99,999","4,816","±510","7.6%","±0.8","3,163","±394","8.8%","±1.1","1,653","±264","5.9%","±0.9"
"        $100,000 or more","4,146","±384","6.5%","±0.6","3,013","±329","8.4%","±0.9","1,133","±196","4.1%","±0.7"
"        Median earnings (dollars) for full-time, year-round workers with earnings","38,931","±986","(X)","(X)","40,586","±1,114","(X)","(X)","37,097","±897","(X)","(X)"
"        Mean earnings (dollars) for full-time, year-round workers with earnings","50,012","±1,222","(X)","(X)","54,596","±1,926","(X)","(X)","44,102","±1,070","(X)","(X)"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 25 years and over with earnings","31,830","±508","(X)","(X)","34,800","±1,380","(X)","(X)","29,800","±877","(X)","(X)"
"        Less than high school graduate","19,029","±1,390","(X)","(X)","22,078","±1,486","(X)","(X)","14,415","±1,779","(X)","(X)"
"        High school graduate (includes equivalency)","25,089","±1,504","(X)","(X)","28,156","±1,655","(X)","(X)","20,823","±1,280","(X)","(X)"
"        Some college or associate's degree","29,887","±1,123","(X)","(X)","32,125","±1,458","(X)","(X)","26,657","±1,417","(X)","(X)"
"        Bachelor's degree","41,099","±1,287","(X)","(X)","47,115","±2,129","(X)","(X)","37,040","±1,350","(X)","(X)"
"        Graduate or professional degree","54,178","±1,944","(X)","(X)","57,500","±5,468","(X)","(X)","51,160","±2,242","(X)","(X)"
