"Label (Grouping)","Grand Rapids city, Michigan!!Total!!Estimate","Grand Rapids city, Michigan!!Total!!Margin of Error","Grand Rapids city, Michigan!!Percent!!Estimate","Grand Rapids city, Michigan!!Percent!!Margin of Error","Grand Rapids city, Michigan!!Male!!Estimate","Grand Rapids city, Michigan!!Male!!Margin of Error","Grand Rapids city, Michigan!!Percent Male!!Estimate","Grand Rapids city, Michigan!!Percent Male!!Margin of Error","Grand Rapids city, Michigan!!Female!!Estimate","Grand Rapids city, Michigan!!Female!!Margin of Error","Grand Rapids city, Michigan!!Percent Female!!Estimate","Grand Rapids city, Michigan!!Percent Female!!Margin of Error"
"Population 16 years and over with earnings","109,382","±1,280","109,382","±1,280","56,200","±873","56,200","±873","53,182","±1,169","53,182","±1,169"
"    Median earnings (dollars)","24,582","±654","(X)","(X)","26,712","±640","(X)","(X)","22,054","±698","(X)","(X)"
"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","60,863","±1,217","60,863","±1,217","33,779","±953","33,779","±953","27,084","±1,059","27,084","±1,059"
"        $1 to $9,999 or loss","1,369","±241","2.2%","±0.4","613","±158","1.8%","±0.5","756","±179","2.8%","±0.7"
"        $10,000 to $14,999","3,090","±445","5.1%","±0.7","1,508","±294","4.5%","±0.9","1,582","±266","5.8%","±1.0"
"        $15,000 to $24,999","10,170","±794","16.7%","±1.2","5,167","±585","15.3%","±1.5","5,003","±481","18.5%","±1.6"
"        $25,000 to $34,999","12,835","±679","21.1%","±1.0","7,208","±580","21.3%","±1.6","5,627","±420","20.8%","±1.4"
"        $35,000 to $49,999","13,544","±786","22.3%","±1.3","6,849","±571","20.3%","±1.6","6,695","±551","24.7%","±1.7"
"        $50,000 to $64,999","9,045","±681","14.9%","±1.1","5,179","±482","15.3%","±1.3","3,866","±395","14.3%","±1.4"
"        $65,000 to $74,999","3,060","±324","5.0%","±0.5","1,972","±278","5.8%","±0.8","1,088","±196","4.0%","±0.7"
"        $75,000 to $99,999","4,307","±363","7.1%","±0.6","2,681","±293","7.9%","±0.9","1,626","±240","6.0%","±0.9"
"        $100,000 or more","3,443","±331","5.7%","±0.5","2,602","±288","7.7%","±0.9","841","±146","3.1%","±0.5"
"        Median earnings (dollars) for full-time, year-round workers with earnings","36,805","±494","(X)","(X)","39,452","±1,858","(X)","(X)","35,649","±544","(X)","(X)"
"        Mean earnings (dollars) for full-time, year-round workers with earnings","47,953","±1,420","(X)","(X)","52,953","±2,311","(X)","(X)","41,718","±1,008","(X)","(X)"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 25 years and over with earnings","30,396","±466","(X)","(X)","31,992","±607","(X)","(X)","27,907","±1,010","(X)","(X)"
"        Less than high school graduate","17,116","±1,292","(X)","(X)","20,190","±1,376","(X)","(X)","13,576","±1,310","(X)","(X)"
"        High school graduate (includes equivalency)","24,060","±1,500","(X)","(X)","26,472","±1,109","(X)","(X)","20,681","±1,380","(X)","(X)"
"        Some college or associate's degree","28,056","±1,169","(X)","(X)","30,811","±874","(X)","(X)","25,550","±1,253","(X)","(X)"
"        Bachelor's degree","40,040","±2,393","(X)","(X)","45,624","±2,302","(X)","(X)","35,689","±854","(X)","(X)"
"        Graduate or professional degree","51,465","±1,942","(X)","(X)","54,850","±3,919","(X)","(X)","48,348","±2,575","(X)","(X)"
