,Year,Patient to Primary Care Physician Ratio,Patient to Dentist Ratio,Other Primary Care Providers,Geography,ID Geography,Slug Geography
80,2022,2931,2391,2766,"Allegan County, MI",05000US26005,allegan-county-mi
81,2022,2931,2391,1320,"Barry County, MI",05000US26015,barry-county-mi
82,2022,2931,2391,1403,"Ionia County, MI",05000US26067,ionia-county-mi
83,2022,2931,2391,467,"Kent County, MI",05000US26081,kent-county-mi
84,2022,2931,2391,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
85,2022,2931,2391,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
86,2022,2931,2391,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
87,2022,2931,2391,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
88,2022,2931,1339,2766,"Allegan County, MI",05000US26005,allegan-county-mi
89,2022,2931,1339,1320,"Barry County, MI",05000US26015,barry-county-mi
90,2022,2931,1339,1403,"Ionia County, MI",05000US26067,ionia-county-mi
91,2022,2931,1339,467,"Kent County, MI",05000US26081,kent-county-mi
92,2022,2931,1339,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
93,2022,2931,1339,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
94,2022,2931,1339,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
95,2022,2931,1339,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
96,2022,2931,2048,2766,"Allegan County, MI",05000US26005,allegan-county-mi
97,2022,2931,2048,1320,"Barry County, MI",05000US26015,barry-county-mi
98,2022,2931,2048,1403,"Ionia County, MI",05000US26067,ionia-county-mi
99,2022,2931,2048,467,"Kent County, MI",05000US26081,kent-county-mi
100,2022,2931,2048,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
101,2022,2931,2048,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
102,2022,2931,2048,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
103,2022,2931,2048,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
104,2022,2931,1474,2766,"Allegan County, MI",05000US26005,allegan-county-mi
105,2022,2931,1474,1320,"Barry County, MI",05000US26015,barry-county-mi
106,2022,2931,1474,1403,"Ionia County, MI",05000US26067,ionia-county-mi
107,2022,2931,1474,467,"Kent County, MI",05000US26081,kent-county-mi
108,2022,2931,1474,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
109,2022,2931,1474,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
110,2022,2931,1474,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
111,2022,2931,1474,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
112,2022,2931,1645,2766,"Allegan County, MI",05000US26005,allegan-county-mi
113,2022,2931,1645,1320,"Barry County, MI",05000US26015,barry-county-mi
114,2022,2931,1645,1403,"Ionia County, MI",05000US26067,ionia-county-mi
115,2022,2931,1645,467,"Kent County, MI",05000US26081,kent-county-mi
116,2022,2931,1645,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
117,2022,2931,1645,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
118,2022,2931,1645,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
119,2022,2931,1645,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
120,2022,2931,1646,2766,"Allegan County, MI",05000US26005,allegan-county-mi
121,2022,2931,1646,1320,"Barry County, MI",05000US26015,barry-county-mi
122,2022,2931,1646,1403,"Ionia County, MI",05000US26067,ionia-county-mi
123,2022,2931,1646,467,"Kent County, MI",05000US26081,kent-county-mi
124,2022,2931,1646,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
125,2022,2931,1646,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
126,2022,2931,1646,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
127,2022,2931,1646,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
128,2022,3806,2973,2766,"Allegan County, MI",05000US26005,allegan-county-mi
129,2022,3806,2973,1320,"Barry County, MI",05000US26015,barry-county-mi
130,2022,3806,2973,1403,"Ionia County, MI",05000US26067,ionia-county-mi
131,2022,3806,2973,467,"Kent County, MI",05000US26081,kent-county-mi
132,2022,3806,2973,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
133,2022,3806,2973,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
134,2022,3806,2973,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
135,2022,3806,2973,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
136,2022,3806,3651,2766,"Allegan County, MI",05000US26005,allegan-county-mi
137,2022,3806,3651,1320,"Barry County, MI",05000US26015,barry-county-mi
138,2022,3806,3651,1403,"Ionia County, MI",05000US26067,ionia-county-mi
139,2022,3806,3651,467,"Kent County, MI",05000US26081,kent-county-mi
140,2022,3806,3651,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
141,2022,3806,3651,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
142,2022,3806,3651,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
143,2022,3806,3651,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
144,2022,3806,2391,2766,"Allegan County, MI",05000US26005,allegan-county-mi
145,2022,3806,2391,1320,"Barry County, MI",05000US26015,barry-county-mi
146,2022,3806,2391,1403,"Ionia County, MI",05000US26067,ionia-county-mi
147,2022,3806,2391,467,"Kent County, MI",05000US26081,kent-county-mi
148,2022,3806,2391,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
149,2022,3806,2391,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
150,2022,3806,2391,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
151,2022,3806,2391,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
152,2022,3806,1339,2766,"Allegan County, MI",05000US26005,allegan-county-mi
153,2022,3806,1339,1320,"Barry County, MI",05000US26015,barry-county-mi
154,2022,3806,1339,1403,"Ionia County, MI",05000US26067,ionia-county-mi
155,2022,3806,1339,467,"Kent County, MI",05000US26081,kent-county-mi
156,2022,3806,1339,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
157,2022,3806,1339,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
158,2022,3806,1339,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
159,2022,3806,1339,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
160,2022,3806,2048,2766,"Allegan County, MI",05000US26005,allegan-county-mi
161,2022,3806,2048,1320,"Barry County, MI",05000US26015,barry-county-mi
162,2022,3806,2048,1403,"Ionia County, MI",05000US26067,ionia-county-mi
163,2022,3806,2048,467,"Kent County, MI",05000US26081,kent-county-mi
164,2022,3806,2048,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
165,2022,3806,2048,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
166,2022,3806,2048,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
167,2022,3806,2048,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
168,2022,3806,1474,2766,"Allegan County, MI",05000US26005,allegan-county-mi
169,2022,3806,1474,1320,"Barry County, MI",05000US26015,barry-county-mi
170,2022,3806,1474,1403,"Ionia County, MI",05000US26067,ionia-county-mi
171,2022,3806,1474,467,"Kent County, MI",05000US26081,kent-county-mi
172,2022,3806,1474,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
173,2022,3806,1474,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
174,2022,3806,1474,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
175,2022,3806,1474,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
176,2022,3806,1645,2766,"Allegan County, MI",05000US26005,allegan-county-mi
177,2022,3806,1645,1320,"Barry County, MI",05000US26015,barry-county-mi
178,2022,3806,1645,1403,"Ionia County, MI",05000US26067,ionia-county-mi
179,2022,3806,1645,467,"Kent County, MI",05000US26081,kent-county-mi
180,2022,3806,1645,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
181,2022,3806,1645,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
182,2022,3806,1645,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
183,2022,3806,1645,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
184,2022,3806,1646,2766,"Allegan County, MI",05000US26005,allegan-county-mi
185,2022,3806,1646,1320,"Barry County, MI",05000US26015,barry-county-mi
186,2022,3806,1646,1403,"Ionia County, MI",05000US26067,ionia-county-mi
187,2022,3806,1646,467,"Kent County, MI",05000US26081,kent-county-mi
188,2022,3806,1646,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
189,2022,3806,1646,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
190,2022,3806,1646,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
191,2022,3806,1646,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
192,2022,1079,2973,2766,"Allegan County, MI",05000US26005,allegan-county-mi
193,2022,1079,2973,1320,"Barry County, MI",05000US26015,barry-county-mi
194,2022,1079,2973,1403,"Ionia County, MI",05000US26067,ionia-county-mi
195,2022,1079,2973,467,"Kent County, MI",05000US26081,kent-county-mi
196,2022,1079,2973,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
197,2022,1079,2973,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
198,2022,1079,2973,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
199,2022,1079,2973,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
200,2022,1079,3651,2766,"Allegan County, MI",05000US26005,allegan-county-mi
201,2022,1079,3651,1320,"Barry County, MI",05000US26015,barry-county-mi
202,2022,1079,3651,1403,"Ionia County, MI",05000US26067,ionia-county-mi
203,2022,1079,3651,467,"Kent County, MI",05000US26081,kent-county-mi
204,2022,1079,3651,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
205,2022,1079,3651,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
206,2022,1079,3651,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
207,2022,1079,3651,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
208,2022,1079,2391,2766,"Allegan County, MI",05000US26005,allegan-county-mi
209,2022,1079,2391,1320,"Barry County, MI",05000US26015,barry-county-mi
210,2022,1079,2391,1403,"Ionia County, MI",05000US26067,ionia-county-mi
211,2022,1079,2391,467,"Kent County, MI",05000US26081,kent-county-mi
212,2022,1079,2391,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
213,2022,1079,2391,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
214,2022,1079,2391,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
215,2022,1079,2391,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
216,2022,1079,1339,2766,"Allegan County, MI",05000US26005,allegan-county-mi
217,2022,1079,1339,1320,"Barry County, MI",05000US26015,barry-county-mi
218,2022,1079,1339,1403,"Ionia County, MI",05000US26067,ionia-county-mi
219,2022,1079,1339,467,"Kent County, MI",05000US26081,kent-county-mi
220,2022,1079,1339,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
221,2022,1079,1339,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
222,2022,1079,1339,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
223,2022,1079,1339,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
224,2022,1079,2048,2766,"Allegan County, MI",05000US26005,allegan-county-mi
225,2022,1079,2048,1320,"Barry County, MI",05000US26015,barry-county-mi
226,2022,1079,2048,1403,"Ionia County, MI",05000US26067,ionia-county-mi
227,2022,1079,2048,467,"Kent County, MI",05000US26081,kent-county-mi
228,2022,1079,2048,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
229,2022,1079,2048,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
230,2022,1079,2048,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
231,2022,1079,2048,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
232,2022,1079,1474,2766,"Allegan County, MI",05000US26005,allegan-county-mi
233,2022,1079,1474,1320,"Barry County, MI",05000US26015,barry-county-mi
234,2022,1079,1474,1403,"Ionia County, MI",05000US26067,ionia-county-mi
235,2022,1079,1474,467,"Kent County, MI",05000US26081,kent-county-mi
236,2022,1079,1474,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
237,2022,1079,1474,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
238,2022,1079,1474,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
239,2022,1079,1474,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
240,2022,1079,1645,2766,"Allegan County, MI",05000US26005,allegan-county-mi
241,2022,1079,1645,1320,"Barry County, MI",05000US26015,barry-county-mi
242,2022,1079,1645,1403,"Ionia County, MI",05000US26067,ionia-county-mi
243,2022,1079,1645,467,"Kent County, MI",05000US26081,kent-county-mi
244,2022,1079,1645,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
245,2022,1079,1645,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
246,2022,1079,1645,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
247,2022,1079,1645,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
248,2022,1079,1646,2766,"Allegan County, MI",05000US26005,allegan-county-mi
249,2022,1079,1646,1320,"Barry County, MI",05000US26015,barry-county-mi
250,2022,1079,1646,1403,"Ionia County, MI",05000US26067,ionia-county-mi
251,2022,1079,1646,467,"Kent County, MI",05000US26081,kent-county-mi
252,2022,1079,1646,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
253,2022,1079,1646,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
254,2022,1079,1646,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
255,2022,1079,1646,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
256,2022,2556,2973,2766,"Allegan County, MI",05000US26005,allegan-county-mi
257,2022,2556,2973,1320,"Barry County, MI",05000US26015,barry-county-mi
258,2022,2556,2973,1403,"Ionia County, MI",05000US26067,ionia-county-mi
259,2022,2556,2973,467,"Kent County, MI",05000US26081,kent-county-mi
260,2022,2556,2973,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
261,2022,2556,2973,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
262,2022,2556,2973,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
263,2022,2556,2973,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
264,2022,2556,3651,2766,"Allegan County, MI",05000US26005,allegan-county-mi
265,2022,2556,3651,1320,"Barry County, MI",05000US26015,barry-county-mi
266,2022,2556,3651,1403,"Ionia County, MI",05000US26067,ionia-county-mi
267,2022,2556,3651,467,"Kent County, MI",05000US26081,kent-county-mi
268,2022,2556,3651,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
269,2022,2556,3651,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
270,2022,2556,3651,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
271,2022,2556,3651,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
272,2022,2556,2391,2766,"Allegan County, MI",05000US26005,allegan-county-mi
273,2022,2556,2391,1320,"Barry County, MI",05000US26015,barry-county-mi
274,2022,2556,2391,1403,"Ionia County, MI",05000US26067,ionia-county-mi
275,2022,2556,2391,467,"Kent County, MI",05000US26081,kent-county-mi
276,2022,2556,2391,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
277,2022,2556,2391,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
278,2022,2556,2391,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
279,2022,2556,2391,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
280,2022,2556,1339,2766,"Allegan County, MI",05000US26005,allegan-county-mi
281,2022,2556,1339,1320,"Barry County, MI",05000US26015,barry-county-mi
282,2022,2556,1339,1403,"Ionia County, MI",05000US26067,ionia-county-mi
283,2022,2556,1339,467,"Kent County, MI",05000US26081,kent-county-mi
284,2022,2556,1339,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
285,2022,2556,1339,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
286,2022,2556,1339,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
287,2022,2556,1339,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
